画面名 (JP),API List,Business Flow,Giải thích tính năng,Menu,Remark ,Screen (VI),Screen ID,Status,Sub menu,System,Thông tin hiển thị trên màn hình,URL,Wireframe list,サブメニュー,システム,メニュー,機能説明,画面表示情報
派遣照会取消,SA-REQ-005-API-01-Staffing Cancel Request (https://www.notion.so/SA-REQ-005-API-01-Staffing-Cancel-Request-36bf02c407dd802f85dfe67f648f21ea?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Hủy staffing request.,Request Management,,Staffing Cancel Request,SA-REQ-005,Not started,,SAKI Portal,"Cancel reason, canceled datetime",/saki/requests/:id/cancel,,,派遣先ポータル,派遣照会,派遣照会を取消する。,取消理由、取消日時
見積一覧,SA-REQ-006-API-01-Estimate List (https://www.notion.so/SA-REQ-006-API-01-Estimate-List-36bf02c407dd8087aab2e101b9b3a901?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Danh sách estimate từ MOTO.,Request Management,,Estimate List,SA-REQ-006,Not started,,SAKI Portal,"MOTO company, estimate amount, status",/saki/estimates,,,派遣先ポータル,派遣照会,派遣元からの見積一覧を表示する。,派遣元会社、見積金額、状態
見積詳細,SA-REQ-007-API-01-Estimate Detail (https://www.notion.so/SA-REQ-007-API-01-Estimate-Detail-36bf02c407dd80139629d65121ce5a2a?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Chi tiết estimate.,Request Management,,Estimate Detail,SA-REQ-007,Not started,,SAKI Portal,"Billing condition, estimate condition",/saki/estimates/:id,,,派遣先ポータル,派遣照会,見積詳細を表示する。,請求条件、見積条件
見積比較,SA-REQ-008-API-01-Estimate Compare (https://www.notion.so/SA-REQ-008-API-01-Estimate-Compare-36bf02c407dd80608fcbd44d7daf248f?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",So sánh estimate giữa nhiều MOTO.,Request Management,,Estimate Compare,SA-REQ-008,Not started,,SAKI Portal,"Unit price, condition, response speed",/saki/estimates/compare,Untitled (https://www.notion.so/374f02c407dd80d59872dbb438cb28af?pvs=21),,派遣先ポータル,派遣照会,複数派遣元の見積を比較する。,単価、条件、回答速度
見積DL,SA-REQ-009-API-01-Estimate Export (https://www.notion.so/SA-REQ-009-API-01-Estimate-Export-36bf02c407dd80c08967e863ca84b23c?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Export estimate CSV/PDF.,Request Management,,Estimate Export,SA-REQ-009,Not started,,SAKI Portal,"Export condition, generated file",/saki/estimates/export,,,派遣先ポータル,派遣照会,見積データを出力する。,出力条件、生成ファイル
派遣照会回答一覧,SA-REQ-010-API-01-Staffing Response List (https://www.notion.so/SA-REQ-010-API-01-Staffing-Response-List-36bf02c407dd805fb3b5d572d6553362?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Danh sách response từ MOTO.,Request Management,,Staffing Response List,SA-REQ-010,Not started,,SAKI Portal,"Response company, proposed count, billing amount",/saki/responses,,,派遣先ポータル,派遣照会,派遣照会回答一覧を表示する。,回答会社、提案人数、請求単価
派遣照会回答詳細,SA-REQ-011-API-01-Response Detail (https://www.notion.so/SA-REQ-011-API-01-Response-Detail-36bf02c407dd809795d5c89c351fbed8?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Xem response detail.,Request Management,,Response Detail,SA-REQ-011,Not started,,SAKI Portal,"Response detail, comment, response datetime",/saki/responses/:id,,,派遣先ポータル,派遣照会,派遣照会回答詳細を表示する。,回答内容、コメント、回答日時
未回答一覧,SA-REQ-013-API-01-Pending Response List (https://www.notion.so/SA-REQ-013-API-01-Pending-Response-List-36bf02c407dd80699d68e3a32d42805d?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Danh sách request chưa có response.,Request Management,,Pending Response List,SA-REQ-013,Not started,,SAKI Portal,"Request No, deadline, pending days",/saki/pending-responses,,,派遣先ポータル,派遣照会,未回答一覧を表示する。,派遣照会番号、期限、未回答日数
契約一覧,SA-CON-001-API-01-Contract List (https://www.notion.so/SA-CON-001-API-01-Contract-List-36bf02c407dd80a19f75e910c6041f6d?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",Danh sách contract.,Contract Management,,Contract List,SA-CON-001,Not started,,SAKI Portal,"Contract No, MOTO company, period, status",/saki/contracts,Untitled (https://www.notion.so/374f02c407dd80939a74efa9880c590a?pvs=21),,派遣先ポータル,契約管理,契約一覧を表示する。,契約番号、派遣元会社、契約期間、状態
契約詳細,,"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",Xem contract detail.,Contract Management,,Contract Detail,SA-CON-002,Not started,,SAKI Portal,"Staff info, billing condition",/saki/contracts/:id,Untitled (https://www.notion.so/374f02c407dd8038b9bcefb76bef5d37?pvs=21),,派遣先ポータル,契約管理,契約詳細を表示する。,スタッフ情報、請求条件
契約承認,SA-CON-003-API-01-Contract Approval (https://www.notion.so/SA-CON-003-API-01-Contract-Approval-36bf02c407dd801c97c2d4e0fed09712?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",Approve/reject contract.,Contract Management,,Contract Approval,SA-CON-003,Not started,,SAKI Portal,"Approval status, reject reason",/saki/contracts/:id/approve,,,派遣先ポータル,契約管理,契約を承認・却下する。,承認状態、却下理由
未承認契約一覧,SA-CON-004-API-01-Pending Contract Approval (https://www.notion.so/SA-CON-004-API-01-Pending-Contract-Approval-36bf02c407dd80f6a132fff21cb05264?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Danh sách contract chờ approve.,Contract Management,,Pending Contract Approval,SA-CON-004,Not started,,SAKI Portal,"Pending contracts, submitted datetime",/saki/contracts/pending,,,派遣先ポータル,契約管理,未承認契約一覧を表示する。,未承認契約、提出日時
契約変更履歴,SA-CON-005-API-01-Contract Revision History (https://www.notion.so/SA-CON-005-API-01-Contract-Revision-History-36bf02c407dd800b8ccafb597bf2e2dc?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Lịch sử chỉnh sửa contract.,Contract Management,,Contract Revision History,SA-CON-005,Not started,,SAKI Portal,"Changed field, operator, datetime",/saki/contracts/history,,,派遣先ポータル,契約管理,契約変更履歴を参照する。,変更項目、操作者、日時
契約書DL,SA-CON-006-API-01-Contract PDF Download (https://www.notion.so/SA-CON-006-API-01-Contract-PDF-Download-36bf02c407dd801fb043e4f290116c17?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Download contract PDF.,Contract Management,,Contract PDF Download,SA-CON-006,Not started,,SAKI Portal,"PDF file, generated datetime",/saki/contracts/:id/pdf,,,派遣先ポータル,契約管理,契約書PDFをダウンロードする。,PDFファイル、生成日時
契約DL履歴,SA-CON-007-API-01-Contract Download History (https://www.notion.so/SA-CON-007-API-01-Contract-Download-History-36bf02c407dd808cb876cb1e00c094a6?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Lịch sử download contract.,Contract Management,,Contract Download History,SA-CON-007,Not started,,SAKI Portal,"Downloaded file, operator",/saki/contracts/download-history,,,派遣先ポータル,契約管理,契約書DL履歴を参照する。,DLファイル、操作者
契約延長承認,SA-CON-008-API-01-Contract Extension Approval (https://www.notion.so/SA-CON-008-API-01-Contract-Extension-Approval-36bf02c407dd8044aeeccd1a11401af0?pvs=21),,Approve extension request.,Contract Management,,Contract Extension Approval,SA-CON-008,Not started,,SAKI Portal,"Extension period, new billing amount",/saki/contracts/:id/extension,,,派遣先ポータル,契約管理,契約延長申請を承認する。,延長期間、新請求単価
契約終了確認,SA-CON-009-API-01-Contract End Confirmation (https://www.notion.so/SA-CON-009-API-01-Contract-End-Confirmation-36bf02c407dd806ba6e9e7a61ffa4d85?pvs=21),,Confirm contract end.,Contract Management,,Contract End Confirmation,SA-CON-009,Not started,,SAKI Portal,"End date, end reason",/saki/contracts/:id/end,,,派遣先ポータル,契約管理,契約終了内容を確認する。,終了日、終了理由
勤怠TOP,SA-ATT-001-API-01-Attendance Dashboard (https://www.notion.so/SA-ATT-001-API-01-Attendance-Dashboard-36bf02c407dd803191f9f3413c2bda34?pvs=21),,Dashboard attendance approval.,Attendance Management,,Attendance Dashboard,SA-ATT-001,Not started,,SAKI Portal,"Pending approval count, monthly hours",/saki/attendance,Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21),,派遣先ポータル,勤怠管理,勤怠承認ダッシュボードを表示する。,未承認件数、月間労働時間
勤怠一覧,"SA-ATT-002-API-01-Attendance List (https://www.notion.so/SA-ATT-002-API-01-Attendance-List-36bf02c407dd8049abfcf0d4902e4832?pvs=21), SA-CON-002-API-01-Contract Detail (https://www.notion.so/SA-CON-002-API-01-Contract-Detail-36bf02c407dd80e5979ffe10ba156bbf?pvs=21), SA-REQ-002-API-01-Staffing Request Detail (https://www.notion.so/SA-REQ-002-API-01-Staffing-Request-Detail-36bf02c407dd80809c0be1d9042b479a?pvs=21), SA-AUTH-002-API-01-Logout (https://www.notion.so/SA-AUTH-002-API-01-Logout-36bf02c407dd80ec9e8dd13b6f411a69?pvs=21)",,Danh sách attendance submitted.,Attendance Management,,Attendance List,SA-ATT-002,Not started,,SAKI Portal,"Staff name, work date, approval status",/saki/attendance/list,"Untitled (https://www.notion.so/374f02c407dd80beb0b0d6f22dd726bd?pvs=21), Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21)",,派遣先ポータル,勤怠管理,提出済み勤怠一覧を表示する。,スタッフ名、勤務日、承認状態
勤怠詳細,SA-ATT-003-API-01-Attendance Detail (https://www.notion.so/SA-ATT-003-API-01-Attendance-Detail-36bf02c407dd802b99bef3ef2bc2db71?pvs=21),,Xem attendance detail.,Attendance Management,,Attendance Detail,SA-ATT-003,Not started,,SAKI Portal,"Check-in/out, overtime, break time",/saki/attendance/:id,Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21),,派遣先ポータル,勤怠管理,勤怠詳細を表示する。,出退勤時間、残業時間、休憩時間
勤怠承認,SA-ATT-004-API-01-Attendance Approval (https://www.notion.so/SA-ATT-004-API-01-Attendance-Approval-36bf02c407dd80bba07eeda97159eb48?pvs=21),,Approve/reject attendance.,Attendance Management,,Attendance Approval,SA-ATT-004,Not started,,SAKI Portal,"Approval status, reject reason",/saki/attendance/:id/approve,Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21),,派遣先ポータル,勤怠管理,勤怠申請を承認・却下する。,承認状態、却下理由
未申請勤怠一覧,SA-ATT-005-API-01-Unsubmitted Attendance List (https://www.notion.so/SA-ATT-005-API-01-Unsubmitted-Attendance-List-36bf02c407dd80d5b028cd72f5fc4d2b?pvs=21),,Danh sách attendance chưa submit.,Attendance Management,,Unsubmitted Attendance List,SA-ATT-005,Not started,,SAKI Portal,"Missing attendance, pending days",/saki/attendance/unsubmitted,Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21),,派遣先ポータル,勤怠管理,未申請勤怠一覧を表示する。,未申請勤怠、未申請日数
未承認勤怠一覧,SA-ATT-006-API-01-Unapproved Attendance List (https://www.notion.so/SA-ATT-006-API-01-Unapproved-Attendance-List-36bf02c407dd80408949f266ebf90155?pvs=21),,Danh sách attendance chưa approve.,Attendance Management,,Unapproved Attendance List,SA-ATT-006,Not started,,SAKI Portal,"Pending attendance, submit datetime",/saki/attendance/unapproved,Untitled (https://www.notion.so/374f02c407dd8023adadf83191274ea3?pvs=21),,派遣先ポータル,勤怠管理,未承認勤怠一覧を表示する。,未承認勤怠、提出日時
勤怠通知履歴,SA-ATT-007-API-01-Attendance Reminder History (https://www.notion.so/SA-ATT-007-API-01-Attendance-Reminder-History-36bf02c407dd80dc8fdcd219da7fa138?pvs=21),,Lịch sử reminder attendance.,Attendance Management,,Attendance Reminder History,SA-ATT-007,Not started,,SAKI Portal,"Notification target, sent datetime",/saki/attendance/reminders,,,派遣先ポータル,勤怠管理,勤怠通知履歴を参照する。,通知対象、送信日時
勤怠承認履歴,SA-ATT-008-API-01-Attendance Approval History (https://www.notion.so/SA-ATT-008-API-01-Attendance-Approval-History-36bf02c407dd80029feef834d91d716b?pvs=21),,Lịch sử approve attendance.,Attendance Management,,Attendance Approval History,SA-ATT-008,Not started,,SAKI Portal,"Approver, approval datetime",/saki/attendance/approval-history,,,派遣先ポータル,勤怠管理,勤怠承認履歴を参照する。,承認者、承認日時
勤怠DL,SA-ATT-009-API-01-Attendance Export (https://www.notion.so/SA-ATT-009-API-01-Attendance-Export-36bf02c407dd80e3aa91fe209a09b217?pvs=21),,Export attendance CSV/Excel.,Attendance Management,,Attendance Export,SA-ATT-009,Not started,,SAKI Portal,"Export period, generated file",/saki/attendance/export,,,派遣先ポータル,勤怠管理,勤怠データを出力する。,出力期間、生成ファイル
企業マスタ,,テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý company info.,Company Settings,,Company Master,SA-SET-001,Not started,,SAKI Portal,"Company name, address, tax code",/saki/settings/company,Untitled (https://www.notion.so/374f02c407dd80dfadc2f7e724a48d56?pvs=21),,派遣先ポータル,企業設定,企業情報を管理する。,会社名、住所、税番号
部署マスタ,,テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý department.,Company Settings,,Department Master,SA-SET-002,Not started,,SAKI Portal,"Department name, manager",/saki/settings/departments,Untitled (https://www.notion.so/374f02c407dd80dfadc2f7e724a48d56?pvs=21),,派遣先ポータル,企業設定,部署情報を管理する。,部署名、責任者
就業場所一覧,,テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Danh sách workplace.,Company Settings,,Workplace List,SA-SET-003,Not started,,SAKI Portal,"Workplace name, address, active status",/saki/settings/workplaces,,,派遣先ポータル,企業設定,就業場所一覧を表示する。,就業場所名、住所、利用状態
就業場所詳細,,テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Chi tiết workplace.,Company Settings,,Workplace Detail,SA-SET-004,Not started,,SAKI Portal,"Workplace detail, contact info",/saki/settings/workplaces/:id,,,派遣先ポータル,企業設定,就業場所詳細を表示する。,就業場所詳細、連絡先
ユーザーマスタ,,"テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Quản lý SAKI users.,Company Settings,,User Master,SA-SET-005,Not started,,SAKI Portal,"User name, role, status",/saki/settings/users,Untitled (https://www.notion.so/374f02c407dd8027a564d3306750a206?pvs=21),,派遣先ポータル,企業設定,派遣先ユーザーを管理する。,ユーザー名、権限、状態
権限マスタ,,"テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Quản lý RBAC role.,Company Settings,,Role Master,SA-SET-004,Not started,,SAKI Portal,"Role name, permission count",/saki/settings/roles,Untitled (https://www.notion.so/374f02c407dd80c49ef4e7be6b3fe057?pvs=21),,派遣先ポータル,企業設定,権限ロールを管理する。,権限名、権限数
メール通知設定,,テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập mail notification.,Company Settings,,Mail Notification Setting,SA-SET-007,Not started,,SAKI Portal,"Notification type, receiver group",/saki/settings/mail-notifications,,,派遣先ポータル,企業設定,メール通知設定を管理する。,通知種別、送信先グループ
SaaS KPIダッシュボード,,,Dashboard KPI SaaS business,Dashboard,,SaaS KPI Dashboard,PA-DB-002,Not started,,Platform SaaS Admin,"MRR, ARR, active tenants, churn rate",/admin/dashboard/kpi,,,プラットフォーム管理,ダッシュボード,SaaSビジネスKPIを表示する。,MRR、ARR、稼働テナント数、解約率
プラットフォームダッシュボード,,,Dashboard tổng quan toàn hệ thống SaaS,Dashboard,,Platform Dashboard,PA-DB-001,Not started,,Platform SaaS Admin,"Active tenants, active users, contracts, invoices, alerts",/admin/dashboard,,,プラットフォーム管理,ダッシュボード,SaaS全体の運用状況を表示する。,稼働テナント数、利用ユーザー数、契約数、請求数、アラート
導入準備状況,PA-TEN-017-API-01-Tenant Onboarding Status (https://www.notion.so/PA-TEN-017-API-01-Tenant-Onboarding-Status-368f02c407dd804daf12ed16606fd965?pvs=21),派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),Theo dõi onboarding/setup tenant,Tenant Management,,Tenant Onboarding Status,PA-TEN-017,Not started,,Platform SaaS Admin,"Setup checklist, completed steps, pending tasks",/admin/tenants/:id/onboarding,,,プラットフォーム管理,テナント管理,テナント導入準備状況を確認する。,導入チェックリスト、完了項目、未完了項目
テナント利用状況,PA-TEN-016-API-01-Tenant Usage Dashboard (https://www.notion.so/PA-TEN-016-API-01-Tenant-Usage-Dashboard-368f02c407dd8081a0c2cd89672a64f6?pvs=21),派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),Dashboard usage theo tenant,Tenant Management,,Tenant Usage Dashboard,PA-TEN-016,Not started,,Platform SaaS Admin,"User count, storage usage, API usage, monthly login count",/admin/tenants/:id/usage,,,プラットフォーム管理,テナント管理,テナント利用状況を表示する。,ユーザー数、ストレージ使用量、API利用数、月間ログイン数
テナントブランド設定,PA-TEN-015-API-01-Tenant Branding Setting (https://www.notion.so/PA-TEN-015-API-01-Tenant-Branding-Setting-368f02c407dd80a481bcd8591e80483a?pvs=21),派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),Thiết lập logo/theme tenant,Tenant Management,,Tenant Branding Setting,PA-TEN-015,Not started,,Platform SaaS Admin,"Logo, theme color, login background",/admin/tenants/:id/branding,,,プラットフォーム管理,テナント管理,テナントブランド設定を管理する。,ロゴ、テーマカラー、ログイン背景
ドメイン設定,PA-TEN-014-API-01-Tenant Domain Setting (https://www.notion.so/PA-TEN-014-API-01-Tenant-Domain-Setting-368f02c407dd80e394dae2ca0249ccec?pvs=21),派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),Mapping domain/subdomain tenant,Tenant Management,,Tenant Domain Setting,PA-TEN-014,Not started,,Platform SaaS Admin,"Domain, SSL status, DNS status",/admin/tenants/:id/domains,,,プラットフォーム管理,テナント管理,テナントドメイン設定を管理する。,ドメイン、SSL状態、DNS状態
テナント機能設定,PA-TEN-013-API-01-Tenant feature setting (https://www.notion.so/PA-TEN-013-API-01-Tenant-feature-setting-368f02c407dd80e9ab21f689af44d1af?pvs=21),,Enable/disable module cho tenant,Tenant Management,,Tenant Feature Setting,PA-TEN-013,Not started,,Platform SaaS Admin,"Enabled modules, optional features, API access",/admin/tenants/:id/features,,,プラットフォーム管理,テナント管理,テナント利用機能を設定する。,利用モジュール、オプション機能、API利用権限
派遣先テナント復旧,PA-TEN-012-API-01-Restore saki tenant (https://www.notion.so/PA-TEN-012-API-01-Restore-saki-tenant-368f02c407dd8072bca3e510d020dd35?pvs=21),,Restore tenant SAKI,Tenant Management,,Restore SAKI Tenant,PA-TEN-012,Not started,,Platform SaaS Admin,"Restore datetime, restored by",/admin/saki-tenants/:id/restore,,,プラットフォーム管理,テナント管理,停止中派遣先テナントを復旧する。,復旧日時、復旧実施者
派遣先テナント停止,PA-TEN-011-API-01-Suspend saki tenant (https://www.notion.so/PA-TEN-011-API-01-Suspend-saki-tenant-368f02c407dd800c802fc18daa44d904?pvs=21),派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),Suspend tenant SAKI,Tenant Management,,Suspend SAKI Tenant,PA-TEN-011,Not started,,Platform SaaS Admin,"Suspend reason, suspended datetime",/admin/saki-tenants/:id/suspend,,,プラットフォーム管理,テナント管理,派遣先テナントを停止する。,停止理由、停止日時
派遣先テナント編集,PA-TEN-010-API-01-Update saki tenant (https://www.notion.so/PA-TEN-010-API-01-Update-saki-tenant-368f02c407dd8090b776fe7110b82d09?pvs=21),派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),Chỉnh sửa tenant SAKI,Tenant Management,,Edit SAKI Tenant,PA-TEN-010,Not started,,Platform SaaS Admin,"Tenant settings, approval setting, feature flags",/admin/saki-tenants/:id/edit,,,プラットフォーム管理,テナント管理,派遣先テナント情報を編集する。,テナント設定、承認設定、機能フラグ
派遣先テナント作成,PA-TEN-009-API-01-Create saki tenant (https://www.notion.so/PA-TEN-009-API-01-Create-saki-tenant-368f02c407dd809b9175cac8ce90636f?pvs=21),派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),Tạo tenant SAKI mới,Tenant Management,,Create SAKI Tenant,PA-TEN-009,Not started,,Platform SaaS Admin,"Company info, domain, admin user, approval setting",/admin/saki-tenants/create,,,プラットフォーム管理,テナント管理,新規派遣先テナントを作成する。,会社情報、ドメイン、管理ユーザー、承認設定
派遣先テナント詳細,PA-TEN-008-API-01-Saki tenant detail (https://www.notion.so/PA-TEN-008-API-01-Saki-tenant-detail-368f02c407dd8060b7bde32232b06201?pvs=21),派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),Chi tiết tenant SAKI,Tenant Management,,SAKI Tenant Detail,PA-TEN-008,Not started,,Platform SaaS Admin,"Company info, connected MOTO tenants, approval workflow, active contracts, attendance approvals",/admin/saki-tenants/:id,,,プラットフォーム管理,テナント管理,派遣先テナント詳細および承認状況を表示する。,会社情報、接続派遣元、承認フロー、稼働契約、勤怠承認状況
派遣先テナント一覧,"PA-TEN-007-API-01-Saki tenant list (https://www.notion.so/PA-TEN-007-API-01-Saki-tenant-list-368f02c407dd80448c2ce93688b04b3e?pvs=21), PA-TEN-007-API-02-Export saki tenant list (https://www.notion.so/PA-TEN-007-API-02-Export-saki-tenant-list-368f02c407dd80a29c13fe3908e34685?pvs=21)",,Danh sách tenant SAKI,Tenant Management,,SAKI Tenant List,PA-TEN-007,Not started,,Platform SaaS Admin,"Company name, connected MOTO count, active contract count, approval user count, billing status, tenant status",/admin/saki-tenants,,,プラットフォーム管理,テナント管理,派遣先テナント一覧を表示する。,会社名、接続派遣元数、契約数、承認ユーザー数、請求状態、状態
派遣元テナント復旧,PA-TEN-006-API-01-Restore moto tenant (https://www.notion.so/PA-TEN-006-API-01-Restore-moto-tenant-368f02c407dd80c98402dfe53e194422?pvs=21),,Restore tenant MOTO,Tenant Management,,Restore MOTO Tenant,PA-TEN-006,Not started,,Platform SaaS Admin,"Restore datetime, restored by",/admin/moto-tenants/:id/restore,,,プラットフォーム管理,テナント管理,停止中派遣元テナントを復旧する。,復旧日時、復旧実施者
派遣元テナント停止,PA-TEN-005-API-01-Suspend moto tenant (https://www.notion.so/PA-TEN-005-API-01-Suspend-moto-tenant-368f02c407dd80bca1d4ff2648247aa0?pvs=21),,Suspend tenant MOTO,Tenant Management,,Suspend MOTO Tenant,PA-TEN-005,Not started,,Platform SaaS Admin,"Suspend reason, suspended datetime, operator",/admin/moto-tenants/:id/suspend,,,プラットフォーム管理,テナント管理,派遣元テナントを停止する。,停止理由、停止日時、実行者
派遣元テナント編集,PA-TEN-004-API-01-Update moto tenant (https://www.notion.so/PA-TEN-004-API-01-Update-moto-tenant-368f02c407dd805299afd8bd3c28af9a?pvs=21),,Chỉnh sửa tenant MOTO,Tenant Management,,Edit MOTO Tenant,PA-TEN-004,Not started,,Platform SaaS Admin,"Tenant setting, feature flags, limits",/admin/moto-tenants/:id/edit,,,プラットフォーム管理,テナント管理,派遣元テナント情報を編集する。,テナント設定、機能フラグ、制限値
派遣元テナント作成,PA-TEN-003-API-01-Create moto tenant (https://www.notion.so/PA-TEN-003-API-01-Create-moto-tenant-368f02c407dd8069b90ffae6ad89dee7?pvs=21),,Tạo tenant MOTO mới,Tenant Management,,Create MOTO Tenant,PA-TEN-003,Not started,,Platform SaaS Admin,"Company info, domain, initial plan, admin account",/admin/moto-tenants/create,,,プラットフォーム管理,テナント管理,新規派遣元テナントを作成する。,会社情報、ドメイン、初期プラン、管理者アカウント
派遣元テナント詳細,PA-TEN-002-API-01-Moto tenant detail (https://www.notion.so/PA-TEN-002-API-01-Moto-tenant-detail-368f02c407dd802e91bff6bd71ab64db?pvs=21),,Chi tiết tenant MOTO,Tenant Management,,MOTO Tenant Detail,PA-TEN-002,Not started,,Platform SaaS Admin,"Company profile, branch count, active staff, storage usage, enabled modules, API usage, onboarding status",/admin/moto-tenants/:id,,,プラットフォーム管理,テナント管理,派遣元テナント詳細および利用状況を表示する。,会社情報、拠点数、スタッフ数、ストレージ使用量、利用機能、API利用数、導入状態
