画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
プラットフォームダッシュボード,SaaS全体の運用状況を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-DB-001,Platform Dashboard,Dashboard tổng quan toàn hệ thống SaaS,/admin/dashboard,稼働テナント数、利用ユーザー数、契約数、請求数、アラート,"Active tenants, active users, contracts, invoices, alerts",,,,
SaaS KPIダッシュボード,SaaSビジネスKPIを表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-DB-002,SaaS KPI Dashboard,Dashboard KPI SaaS business,/admin/dashboard/kpi,MRR、ARR、稼働テナント数、解約率,"MRR, ARR, active tenants, churn rate",,,,
システム監視ダッシュボード,システムインフラ状況を監視する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-DB-003,System Health Dashboard,Monitoring hạ tầng hệ thống,/admin/dashboard/system-health,CPU、メモリ、キュー、API応答、ストレージ使用量,"CPU, memory, queue, API response, storage usage",,,,PA-DB-003-API-01-Health check (https://www.notion.so/PA-DB-003-API-01-Health-check-368f02c407dd8025b4e5fc4ca3cea630?pvs=21)
勤怠区分マスタ,勤怠区分を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-101,Attendance Type Master,Quản lý attendance type,,勤怠コード、残業対象、有効状態,"Attendance code, overtime target, active status",,,,
就業場所区分マスタ,就業場所区分を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-102,Workplace Type Master,Quản lý workplace type,,就業場所区分コード、表示名,"Workplace code, display name",,,,
勤務パターンマスタ,勤務パターンを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-103,Work Pattern Master,Quản lý work pattern,,開始終了時間、休憩ルール、残業ルール,"Start/end time, break rule, overtime rule",,,,
残業ルールマスタ,残業ルールを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-104,Overtime Rule Master,Quản lý overtime rule,,閾値時間、残業区分,"Threshold hours, overtime type",,,,
休日区分マスタ,休日区分を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-105,Holiday Type Master,Quản lý holiday type,,休日コード、有給区分,"Holiday code, paid/unpaid type",,,,
法定休日マスタ,法定休日を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-106,Legal Holiday Master,Quản lý legal holiday,,休日、休日名,"Holiday date, holiday name",,,,
36協定マスタ,36協定テンプレートを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-107,36 Agreement Master,Template labor agreement,,月間・年間残業上限,Monthly/yearly overtime limit,,,,
契約状態マスタ,契約状態を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-201,Contract Status Master,Quản lý trạng thái contract,,状態コード、表示名,"Status code, display name",,,,
契約種別マスタ,契約種別を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-202,Contract Type Master,Quản lý loại contract,,契約種別コード、表示名,"Contract type code, label",,,,
見積状態マスタ,見積状態を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-203,Estimate Status Master,Quản lý trạng thái estimate,,見積状態、表示順,"Estimate status, display order",,,,
請求状態マスタ,請求状態を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-204,Billing Status Master,Quản lý billing status,,請求状態、未払いフラグ,"Billing status, overdue flag",,,,
税率マスタ,税率を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-205,Tax Rate Master,Quản lý tax rate,,税区分、税率、適用日,"Tax type, percentage, effective date",,,,
承認状態マスタ,承認状態を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-301,Approval Status Master,Quản lý approval status,,承認状態、承認レベル,"Approval status, approval level",,,,
通知種別マスタ,通知種別を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-302,Notification Type Master,Quản lý notification type,,通知種別、通知方法,"Notification type, delivery method",,,,
メールテンプレートマスタ,メールテンプレートを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-303,Mail Template Master,Quản lý mail template,,メール件名、本文テンプレート,"Mail subject, template body",,,,
アラートルールマスタ,アラートルールを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-304,Alert Rule Master,Quản lý alert/overtime rule,,アラート条件、閾値、通知先,"Alert condition, threshold, notify target",,,,
都道府県マスタ,都道府県を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-502,Prefecture Master,Quản lý prefecture JP,,都道府県コード、都道府県名,"Prefecture code, prefecture name",,,,
業種マスタ,業種を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-GM-504,Industry Master,Quản lý industry,,業種コード、業種名,"Industry code, industry name",,,,
テナント契約一覧,テナントの利用契約一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-001,Tenant Contract List,Danh sách hợp đồng sử dụng hệ thống của tenant.,/admin/tenant-contracts,テナント名、テナント種別、契約期間、契約状態、利用機能数,"Tenant name, tenant type, contract period, contract status, enabled feature count","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,
テナント契約一覧,テナントの利用契約一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-001,Tenant Contract List,Danh sách hợp đồng sử dụng hệ thống của tenant,/admin/tenant-contracts,テナント名、テナント種別、契約期間、契約状態、利用機能数,"Tenant name, tenant type, contract period, contract status, enabled feature count",,,,PA-LIC-001-API-01-Tenant Contract List (https://www.notion.so/PA-LIC-001-API-01-Tenant-Contract-List-368f02c407dd808f9ff3d4157245bef6?pvs=21)
テナント契約詳細,テナント利用契約の詳細および利用範囲を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-002,Tenant Contract Detail,Xem chi tiết hợp đồng tenant và phạm vi sử dụng.,/admin/tenant-contracts/:id,契約期間、契約書、利用モジュール、利用制限、請求条件,"Contract period, contract document, enabled modules, usage limits, billing condition","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,
テナント契約詳細,テナント利用契約の詳細および利用範囲を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-002,Tenant Contract Detail,Chi tiết hợp đồng tenant và phạm vi sử dụng,/admin/tenant-contracts/:id,契約期間、契約書、利用モジュール、利用制限、請求条件,"Contract period, contract document, enabled modules, usage limits, billing condition",,,,PA-LIC-002-API-01-Tenant Contract Detail (https://www.notion.so/PA-LIC-002-API-01-Tenant-Contract-Detail-368f02c407dd8001a78ec2e299460793?pvs=21)
テナント契約作成,テナント利用契約を新規作成する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-003,Create Tenant Contract,Tạo hợp đồng sử dụng cho tenant.,/admin/tenant-contracts/create,テナント、契約開始日・終了日、付与機能、利用制限,"Tenant, contract start/end date, granted features, usage limits","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,
テナント契約作成,テナント利用契約を新規作成する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-003,Create Tenant Contract,Tạo hợp đồng sử dụng cho tenant,/admin/tenant-contracts/create,テナント、契約開始日・終了日、付与機能、利用制限,"Tenant, contract start/end date, granted features, usage limits",,,,PA-LIC-003-API-001-Create Tenant Contract (https://www.notion.so/PA-LIC-003-API-001-Create-Tenant-Contract-368f02c407dd803a9dacd95fb360ebd4?pvs=21)
テナント契約編集,テナント利用契約内容を編集する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-004,Edit Tenant Contract,Chỉnh sửa điều kiện hợp đồng tenant,/admin/tenant-contracts/:id/edit,契約期間、利用機能範囲、制限変更、変更理由,"Contract term, feature scope, limit changes, change reason",,,,PA-LIC-004-API-01-Update Tenant Contract (https://www.notion.so/PA-LIC-004-API-01-Update-Tenant-Contract-368f02c407dd8017ba96e1ce97e45e5a?pvs=21)
利用機能付与設定,テナントに対して利用可能機能を付与・停止する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-005,Tenant Feature Grant Setting,Cấp/bỏ quyền sử dụng từng module/function cho tenant,/admin/tenant-contracts/:id/features,機能一覧、有効/無効状態、適用日、実行者,"Feature list, enabled/disabled status, effective date, operator",,,,PA-LIC-005-API-01-Tenant Feature Grant Setting (https://www.notion.so/PA-LIC-005-API-01-Tenant-Feature-Grant-Setting-368f02c407dd801a8f41e3c3455dbfcf?pvs=21)
利用上限設定,テナント契約に基づく利用上限を設定する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-006,Usage Limit Setting,Thiết lập giới hạn sử dụng theo hợp đồng tenant,/admin/tenant-contracts/:id/limits,ユーザー数上限、ストレージ上限、ファイル容量上限、API上限、テナント種別,"User limit, storage limit, file upload limit, API limit, tenant type",,,,PA-LIC-006-API-01-Usage Limit Setting (https://www.notion.so/PA-LIC-006-API-01-Usage-Limit-Setting-368f02c407dd80959b1ac183e336cb39?pvs=21)
利用機能変更履歴,テナント利用機能の変更履歴を参照する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-007,Contract Feature History,Lịch sử thay đổi tính năng được cấp cho tenant,/admin/tenant-contracts/:id/feature-history,変更機能、変更前後状態、変更者、変更日時,"Changed feature, before/after status, changed by, changed datetime",,,,PA-LIC-007-API-01-Contract Feature History (https://www.notion.so/PA-LIC-007-API-01-Contract-Feature-History-368f02c407dd8098b01bcb86803c82ca?pvs=21)
契約書管理,テナント契約書ファイルを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-008,Contract Document Management,Quản lý file hợp đồng tenant,/admin/tenant-contracts/:id/documents,契約書ファイル、版数、アップロード日、有効期間,"Contract file, version, upload date, validity period",,,,"PA-LIC-008-API-01-Contract Document List (https://www.notion.so/PA-LIC-008-API-01-Contract-Document-List-368f02c407dd8046ae6fc4c615e8e98a?pvs=21), PA-LIC-008-API-02-Upload Contract Document (https://www.notion.so/PA-LIC-008-API-02-Upload-Contract-Document-368f02c407dd804c97e8f9f26346d42d?pvs=21), PA-LIC-008-API-03-Delete Contract Document (https://www.notion.so/PA-LIC-008-API-03-Delete-Contract-Document-368f02c407dd80b3a5a8fea80c7509a2?pvs=21)"
テナント契約停止,テナント利用契約を停止する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-009,Tenant Contract Suspend,Tạm dừng hợp đồng sử dụng tenant,/admin/tenant-contracts/:id/suspend,停止理由、停止日、影響機能,"Suspend reason, suspend date, affected features",,,,PA-LIC-009-API-01-Suspend Tenant Contract (https://www.notion.so/PA-LIC-009-API-01-Suspend-Tenant-Contract-368f02c407dd80a4b1e0ea5371a08b82?pvs=21)
テナント契約復旧,停止中のテナント利用契約を復旧する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-LIC-010,Tenant Contract Restore,Khôi phục hợp đồng tenant đã tạm dừng,/admin/tenant-contracts/:id/restore,復旧理由、復旧日、復旧機能,"Restore reason, restore date, restored features",,,,PA-LIC-010-API-01-Restore Tenant Contract (https://www.notion.so/PA-LIC-010-API-01-Restore-Tenant-Contract-368f02c407dd8009b831c3ce543cd150?pvs=21)
システム設定,システム全体設定を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-001,System Parameter Setting,Global system settings,/admin/system/settings,システム設定値、構成情報,"System parameters, config values","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,"PA-SYS-001-API-01-System Parameter Setting (https://www.notion.so/PA-SYS-001-API-01-System-Parameter-Setting-368f02c407dd8095847dc4274803c7cc?pvs=21), PA-SYS-001-API-02-Update System Parameter Setting (https://www.notion.so/PA-SYS-001-API-02-Update-System-Parameter-Setting-368f02c407dd80628e78e3a1e2b315f8?pvs=21)"
メールサーバ設定,メールサーバ設定を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-002,Mail Server Setting,SMTP/SES settings,/admin/system/mail,SMTPホスト、送信元メール,"SMTP host, sender address","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,"PA-SYS-002-API-01-Mail Server Setting (https://www.notion.so/PA-SYS-002-API-01-Mail-Server-Setting-368f02c407dd8013894fc0be08b5cea1?pvs=21), PA-SYS-002-API-02-Update Mail Server Setting (https://www.notion.so/PA-SYS-002-API-02-Update-Mail-Server-Setting-368f02c407dd80f8b489ffbc1db5ee20?pvs=21)"
ストレージ設定,ストレージ設定を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-003,Storage Setting,S3/storage configuration,/admin/system/storage,ストレージ種別、バケット、容量制限,"Storage type, bucket, quota","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,"PA-SYS-003-API-01-Storage Setting (https://www.notion.so/PA-SYS-003-API-01-Storage-Setting-368f02c407dd8084ad04f65fedec4e43?pvs=21), PA-SYS-003-API-02-Update Storage Setting (https://www.notion.so/PA-SYS-003-API-02-Update-Storage-Setting-368f02c407dd8030943ee64fe6e9d5c1?pvs=21)"
APIキー管理,APIキーを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-004,API Key Management,Quản lý API keys,/admin/system/api-keys,APIキー、有効期限、利用回数,"API key, expiration, usage count",,,,"PA-SYS-004-API-01-API Key List (https://www.notion.so/PA-SYS-004-API-01-API-Key-List-368f02c407dd80bba612d23b9e56db32?pvs=21), PA-SYS-004-API-02-Create API Key (https://www.notion.so/PA-SYS-004-API-02-Create-API-Key-368f02c407dd808aa828decfede1617f?pvs=21), PA-SYS-004-API-03-Revoke API Key (https://www.notion.so/PA-SYS-004-API-03-Revoke-API-Key-368f02c407dd8088a2b4d34db5c0af0f?pvs=21)"
メンテナンスモード,メンテナンスモードを設定する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-005,Maintenance Mode,Enable maintenance mode,/admin/system/maintenance,メンテナンス状態、メッセージ,"Maintenance status, message",,,,"PA-SYS-005-API-01-Maintenance Mode Status (https://www.notion.so/PA-SYS-005-API-01-Maintenance-Mode-Status-368f02c407dd80bcaff4f6f1e66b9689?pvs=21), PA-SYS-005-API-02-Update Maintenance Mode (https://www.notion.so/PA-SYS-005-API-02-Update-Maintenance-Mode-368f02c407dd808f86cce26dc4ea4051?pvs=21)"
バックアップ管理,バックアップを管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-SYS-006,Backup Management,Quản lý backup system,/admin/system/backups,バックアップファイル、実行日時,"Backup file, backup datetime",,,,"PA-SYS-006-API-01-Backup List (https://www.notion.so/PA-SYS-006-API-01-Backup-List-368f02c407dd80cdb9f3ce967f48bc67?pvs=21), PA-SYS-006-API-02-Create Backup (https://www.notion.so/PA-SYS-006-API-02-Create-Backup-368f02c407dd80a3a42bf5e7840a4be6?pvs=21), PA-SYS-006-API-03-Download Backup (https://www.notion.so/PA-SYS-006-API-03-Download-Backup-368f02c407dd8090a946dba87de4bb8d?pvs=21)"
派遣元テナント一覧,派遣元テナント一覧を表示し、検索・絞込・出力・停止を行う。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-001,MOTO Tenant List,Danh sách tenant MOTO,/admin/moto-tenants,会社名、テナントコード、契約プラン、スタッフ数、稼働契約数、請求状態、状態,"Company name, tenant code, contract plan, active staff count, active contract count, billing status, tenant status",,,,"PA-TEN-001-API-01-Moto tenant list (https://www.notion.so/PA-TEN-001-API-01-Moto-tenant-list-368f02c407dd8093acd3cd3bb1ed416b?pvs=21), PA-TEN-001-API-02-Export moto tenant list (https://www.notion.so/PA-TEN-001-API-02-Export-moto-tenant-list-368f02c407dd8061b76dd671c908064a?pvs=21), ST-HOME-001-API-01-Staff Dashboard (https://www.notion.so/ST-HOME-001-API-01-Staff-Dashboard-36bf02c407dd8085b684c17da6bf2677?pvs=21)"
派遣元テナント詳細,派遣元テナント詳細および利用状況を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-002,MOTO Tenant Detail,Chi tiết tenant MOTO,/admin/moto-tenants/:id,会社情報、拠点数、スタッフ数、ストレージ使用量、利用機能、API利用数、導入状態,"Company profile, branch count, active staff, storage usage, enabled modules, API usage, onboarding status",,,,PA-TEN-002-API-01-Moto tenant detail (https://www.notion.so/PA-TEN-002-API-01-Moto-tenant-detail-368f02c407dd802e91bff6bd71ab64db?pvs=21)
派遣元テナント作成,新規派遣元テナントを作成する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-003,Create MOTO Tenant,Tạo tenant MOTO mới,/admin/moto-tenants/create,会社情報、ドメイン、初期プラン、管理者アカウント,"Company info, domain, initial plan, admin account",,,,PA-TEN-003-API-01-Create moto tenant (https://www.notion.so/PA-TEN-003-API-01-Create-moto-tenant-368f02c407dd8069b90ffae6ad89dee7?pvs=21)
派遣元テナント編集,派遣元テナント情報を編集する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-004,Edit MOTO Tenant,Chỉnh sửa tenant MOTO,/admin/moto-tenants/:id/edit,テナント設定、機能フラグ、制限値,"Tenant setting, feature flags, limits",,,,PA-TEN-004-API-01-Update moto tenant (https://www.notion.so/PA-TEN-004-API-01-Update-moto-tenant-368f02c407dd805299afd8bd3c28af9a?pvs=21)
派遣元テナント停止,派遣元テナントを停止する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-005,Suspend MOTO Tenant,Suspend tenant MOTO,/admin/moto-tenants/:id/suspend,停止理由、停止日時、実行者,"Suspend reason, suspended datetime, operator",,,,PA-TEN-005-API-01-Suspend moto tenant (https://www.notion.so/PA-TEN-005-API-01-Suspend-moto-tenant-368f02c407dd80bca1d4ff2648247aa0?pvs=21)
派遣元テナント復旧,停止中派遣元テナントを復旧する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-006,Restore MOTO Tenant,Restore tenant MOTO,/admin/moto-tenants/:id/restore,復旧日時、復旧実施者,"Restore datetime, restored by",,,,PA-TEN-006-API-01-Restore moto tenant (https://www.notion.so/PA-TEN-006-API-01-Restore-moto-tenant-368f02c407dd80c98402dfe53e194422?pvs=21)
派遣先テナント一覧,派遣先テナント一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-007,SAKI Tenant List,Danh sách tenant SAKI,/admin/saki-tenants,会社名、接続派遣元数、契約数、承認ユーザー数、請求状態、状態,"Company name, connected MOTO count, active contract count, approval user count, billing status, tenant status",,,,"PA-TEN-007-API-01-Saki tenant list (https://www.notion.so/PA-TEN-007-API-01-Saki-tenant-list-368f02c407dd80448c2ce93688b04b3e?pvs=21), PA-TEN-007-API-02-Export saki tenant list (https://www.notion.so/PA-TEN-007-API-02-Export-saki-tenant-list-368f02c407dd80a29c13fe3908e34685?pvs=21)"
派遣先テナント詳細,派遣先テナント詳細および承認状況を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-008,SAKI Tenant Detail,Chi tiết tenant SAKI,/admin/saki-tenants/:id,会社情報、接続派遣元、承認フロー、稼働契約、勤怠承認状況,"Company info, connected MOTO tenants, approval workflow, active contracts, attendance approvals",派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),,,PA-TEN-008-API-01-Saki tenant detail (https://www.notion.so/PA-TEN-008-API-01-Saki-tenant-detail-368f02c407dd8060b7bde32232b06201?pvs=21)
派遣先テナント作成,新規派遣先テナントを作成する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-009,Create SAKI Tenant,Tạo tenant SAKI mới,/admin/saki-tenants/create,会社情報、ドメイン、管理ユーザー、承認設定,"Company info, domain, admin user, approval setting",派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),,,PA-TEN-009-API-01-Create saki tenant (https://www.notion.so/PA-TEN-009-API-01-Create-saki-tenant-368f02c407dd809b9175cac8ce90636f?pvs=21)
派遣先テナント編集,派遣先テナント情報を編集する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-010,Edit SAKI Tenant,Chỉnh sửa tenant SAKI,/admin/saki-tenants/:id/edit,テナント設定、承認設定、機能フラグ,"Tenant settings, approval setting, feature flags",派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),,,PA-TEN-010-API-01-Update saki tenant (https://www.notion.so/PA-TEN-010-API-01-Update-saki-tenant-368f02c407dd8090b776fe7110b82d09?pvs=21)
派遣先テナント停止,派遣先テナントを停止する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-011,Suspend SAKI Tenant,Suspend tenant SAKI,/admin/saki-tenants/:id/suspend,停止理由、停止日時,"Suspend reason, suspended datetime",派遣先テナント管理フロー (https://www.notion.so/362f02c407dd8083b073dc2490749ea3?pvs=21),,,PA-TEN-011-API-01-Suspend saki tenant (https://www.notion.so/PA-TEN-011-API-01-Suspend-saki-tenant-368f02c407dd800c802fc18daa44d904?pvs=21)
派遣先テナント復旧,停止中派遣先テナントを復旧する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-012,Restore SAKI Tenant,Restore tenant SAKI,/admin/saki-tenants/:id/restore,復旧日時、復旧実施者,"Restore datetime, restored by",,,,PA-TEN-012-API-01-Restore saki tenant (https://www.notion.so/PA-TEN-012-API-01-Restore-saki-tenant-368f02c407dd8072bca3e510d020dd35?pvs=21)
テナント機能設定,テナント利用機能を設定する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-013,Tenant Feature Setting,Enable/disable module cho tenant,/admin/tenants/:id/features,利用モジュール、オプション機能、API利用権限,"Enabled modules, optional features, API access",,,,PA-TEN-013-API-01-Tenant feature setting (https://www.notion.so/PA-TEN-013-API-01-Tenant-feature-setting-368f02c407dd80e9ab21f689af44d1af?pvs=21)
ドメイン設定,テナントドメイン設定を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-014,Tenant Domain Setting,Mapping domain/subdomain tenant,/admin/tenants/:id/domains,ドメイン、SSL状態、DNS状態,"Domain, SSL status, DNS status",派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),,,PA-TEN-014-API-01-Tenant Domain Setting (https://www.notion.so/PA-TEN-014-API-01-Tenant-Domain-Setting-368f02c407dd80e394dae2ca0249ccec?pvs=21)
テナントブランド設定,テナントブランド設定を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-015,Tenant Branding Setting,Thiết lập logo/theme tenant,/admin/tenants/:id/branding,ロゴ、テーマカラー、ログイン背景,"Logo, theme color, login background",派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),,,PA-TEN-015-API-01-Tenant Branding Setting (https://www.notion.so/PA-TEN-015-API-01-Tenant-Branding-Setting-368f02c407dd80a481bcd8591e80483a?pvs=21)
テナント利用状況,テナント利用状況を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-016,Tenant Usage Dashboard,Dashboard usage theo tenant,/admin/tenants/:id/usage,ユーザー数、ストレージ使用量、API利用数、月間ログイン数,"User count, storage usage, API usage, monthly login count",派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),,,PA-TEN-016-API-01-Tenant Usage Dashboard (https://www.notion.so/PA-TEN-016-API-01-Tenant-Usage-Dashboard-368f02c407dd8081a0c2cd89672a64f6?pvs=21)
導入準備状況,テナント導入準備状況を確認する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-017,Tenant Onboarding Status,Theo dõi onboarding/setup tenant,/admin/tenants/:id/onboarding,導入チェックリスト、完了項目、未完了項目,"Setup checklist, completed steps, pending tasks",派遣元テナント管理フロー (https://www.notion.so/362f02c407dd80c5acdbe79deb66f419?pvs=21),,,PA-TEN-017-API-01-Tenant Onboarding Status (https://www.notion.so/PA-TEN-017-API-01-Tenant-Onboarding-Status-368f02c407dd804daf12ed16606fd965?pvs=21)
追加導入手続き,追加導入手続きを行う。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-018,Additional Onboarding Procedure,Thực hiện thêm module/setup onboarding,/admin/tenants/:id/additional-onboarding,追加機能、導入状態、承認状態,"Requested module, onboarding status, approval status",,,,PA-TEN-018-API-01-Additional Onboarding Procedure (https://www.notion.so/PA-TEN-018-API-01-Additional-Onboarding-Procedure-368f02c407dd80fe9d1fd15babefa643?pvs=21)
テナントセキュリティ設定,"
• パスワードの有効期限設定
• 複雑PW強制
• IP制限が必要
• テナント毎に設定可否/内容変更を行える必要がある",Not started,Platform SaaS Admin,プラットフォーム管理,PA-TEN-019,"  • Mỗi tenant setting được thời hạn password
  • PWD độ mạnh 
  • IP Address","Cấu hình bảo mật cho tenant (Hạn mật khẩu, độ phức tạp mật khẩu, IP restriction)",/admin/tenants/:id/security,パスワード有効期限、複雑性強制、最小文字数、必須キャラクター、IPアドレス制限、許可IPリスト,"Password Expiration, Force Complexity, Min length, Required chars, IP restrictions, Allowed IPs",,,,PA-TEN-019-API-01-Tenant Security Setting
管理ユーザー一覧,プラットフォーム管理ユーザー一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-USER-001,Platform User List,Danh sách platform admins,/admin/users,ユーザー名、権限、状態,"User name, role, status",テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21),,,PA-USER-001-API-01-Platform User List (https://www.notion.so/PA-USER-001-API-01-Platform-User-List-368f02c407dd80d2b77cd17fced953ad?pvs=21)
管理ユーザー作成,管理ユーザーを作成する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-USER-002,Create Platform User,Tạo platform admin user,/admin/users/create,ユーザー情報、割当権限,"User info, assigned role",テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21),,,PA-USER-002-API-01-Create Platform User (https://www.notion.so/PA-USER-002-API-01-Create-Platform-User-368f02c407dd808fbb38dcd3f6b605d5?pvs=21)
権限マスタ,RBAC権限を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-USER-003,Role Master,RBAC role management,/admin/roles,権限名、権限数,"Role name, permission count",,,,"PA-USER-003-API-01-Role Master List (https://www.notion.so/PA-USER-003-API-01-Role-Master-List-368f02c407dd80d18deadad9307ccf82?pvs=21), PA-USER-003-API-02-Create Role (https://www.notion.so/PA-USER-003-API-02-Create-Role-368f02c407dd806eac2fcb53f87aee26?pvs=21), PA-USER-003-API-03-Update Role (https://www.notion.so/PA-USER-003-API-03-Update-Role-368f02c407dd80e28558ffb71852c538?pvs=21)"
パスワード初期化,管理ユーザーパスワードを初期化する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-USER-004,Password Reset,Reset password admin user,/admin/users/password-reset,対象ユーザー、実行日時,"Target user, reset datetime",,,,PA-USER-004-API-01-Password Reset (https://www.notion.so/PA-USER-004-API-01-Password-Reset-368f02c407dd80a08ae4d43fa12378e0?pvs=21)
